lng	lat	zid_id	city	REGION
63.544	53.321	11500930465	N/A	Костанайская область
51.243	50.844	11500148460	N/A	Западно-Казахстанская область
51.788	50.647	11500180912	N/A	Западно-Казахстанская область
51.834	50.634	11500184353	N/A	Западно-Казахстанская область
76.61	53.729	115002241021	N/A	Павлодарская область
77.097	50.085	115002285716	N/A	Карагандинская область
67.417	48.107	115001311377	N/A	Карагандинская область
67.447	48.027	115001315972	N/A	Карагандинская область
72.9491	49.5578	115001907668	N/A	Карагандинская область
78.66	50.059	115002418542	N/A	Восточно-Казахстанская область
77.687	49.958	115002337897	N/A	Восточно-Казахстанская область
84.429	50.185	115002704160	N/A	Восточно-Казахстанская область
77.57	49.689	115002327388	N/A	Восточно-Казахстанская область
78.8175	49.0185	115002430252	N/A	Восточно-Казахстанская область
82.112	48.747	115002625454	N/A	Восточно-Казахстанская область
81.794	48.154	115002610904	N/A	Восточно-Казахстанская область
81.0807	48.938	115002578033	N/A	Восточно-Казахстанская область
83.89	49.618	115002688523	N/A	Восточно-Казахстанская область
83.447	49.333	115002674207	N/A	Восточно-Казахстанская область
83.543	49.753	115002677194	N/A	Восточно-Казахстанская область
86.4805	49.2371	115002740580	N/A	Восточно-Казахстанская область
84.946	49.536	115002717737	N/A	Восточно-Казахстанская область
85.8073	48.9777	115002734494	N/A	Восточно-Казахстанская область
84.374	48.376	115002702933	N/A	Восточно-Казахстанская область
84.019	48.4702	115002692459	N/A	Восточно-Казахстанская область
84.792	48.587	115002713963	N/A	Восточно-Казахстанская область
84.962	48.04	115002718262	N/A	Восточно-Казахстанская область
85.5986	48.5736	115002732276	N/A	Восточно-Казахстанская область
85.179	48.676	115002723706	N/A	Восточно-Казахстанская область
55.353	45.329	11500433569	N/A	Мангистауская область
66.348	43.198	115001193471	N/A	Кызылординская область
66.34	43.263	115001192031	N/A	Кызылординская область
67.488	47.996	115001320560	N/A	Карагандинская область
67.336	47.801	115001302231	N/A	Карагандинская область
70.2	47.16	115001634353	N/A	Карагандинская область
75.02	47.155	115002093023	N/A	Карагандинская область
73.592	46.804	115001968002	N/A	Карагандинская область
81.624	47.474	115002603807	N/A	Восточно-Казахстанская область
81.026	47.361	115002575551	N/A	Восточно-Казахстанская область
82.202	47.404	115002629872	N/A	Восточно-Казахстанская область
82.071	47.797	115002623732	N/A	Восточно-Казахстанская область
81.085	47.537	115002578843	N/A	Восточно-Казахстанская область
80.4314	47.9926	115002544167	N/A	Восточно-Казахстанская область
79.929	46.947	115002512260	N/A	Восточно-Казахстанская область
82.032	46.825	115002622012	N/A	Восточно-Казахстанская область
84.961	47.963	115002718271	N/A	Восточно-Казахстанская область
83.312	47.311	115002670095	N/A	Восточно-Казахстанская область
82.328	47.682	115002635239	N/A	Восточно-Казахстанская область
84.682	47.986	115002711227	N/A	Восточно-Казахстанская область
82.859	47.067	115002655454	N/A	Восточно-Казахстанская область
85.03	47.408	115002720038	N/A	Восточно-Казахстанская область
82.281	47.303	115002632922	N/A	Восточно-Казахстанская область
85.076	47.869	115002721299	N/A	Восточно-Казахстанская область
82.303	47.37	115002634102	N/A	Восточно-Казахстанская область
85.05	47.892	115002720642	N/A	Восточно-Казахстанская область
85.526	47.614	115002730907	N/A	Восточно-Казахстанская область
83.006	47.335	115002660298	N/A	Восточно-Казахстанская область
82.777	47.438	115002652598	N/A	Восточно-Казахстанская область
82.882	47.722	115002656299	N/A	Восточно-Казахстанская область
84.961	47.903	115002718277	N/A	Восточно-Казахстанская область
84.85	47.325	115002715504	N/A	Восточно-Казахстанская область
85.0456	47.266	115002720711	N/A	Восточно-Казахстанская область
82.732	47.768	115002651096	N/A	Восточно-Казахстанская область
82.353	47.441	115002636408	N/A	Восточно-Казахстанская область
82.94	47.684	115002658093	N/A	Восточно-Казахстанская область
80.339	45.629	115002538783	N/A	Алматинская область
81.306	45.754	115002589251	N/A	Алматинская область
81.939	45.486	115002617864	N/A	Алматинская область
80.946	45.73	115002571707	N/A	Алматинская область
81.066	45.27	115002577773	N/A	Алматинская область
79.501	44.665	115002482184	N/A	Алматинская область
79.547	44.557	115002486104	N/A	Алматинская область
78.905	44.676	115002437999	N/A	Алматинская область
78.866	44.725	115002434885	N/A	Алматинская область
77.388	45.193	115002311353	N/A	Алматинская область
78.793	44.735	115002429670	N/A	Алматинская область
78.339	44.579	115002393216	N/A	Алматинская область
79.13	44.359	115002455386	N/A	Алматинская область
79.359	44.327	115002472374	N/A	Алматинская область
79.604	44.706	115002489965	N/A	Алматинская область
77.612	44.895	115002331431	N/A	Алматинская область
77.537	44.384	115002324439	N/A	Алматинская область
78.746	44.842	115002425460	Текели	Алматинская область
80.099	45.084	115002524048	N/A	Алматинская область
79.888	44.344	115002509788	N/A	Алматинская область
79.867	44.399	115002507941	N/A	Алматинская область
80.202	44.565	115002530326	N/A	Алматинская область
79.932	44.805	115002512481	N/A	Алматинская область
79.785	44.792	115002502307	N/A	Алматинская область
80.6346	45.1433	115002555724	N/A	Алматинская область
79.899	44.866	115002510650	N/A	Алматинская область
80.162	45.087	115002527621	N/A	Алматинская область
70.36	43.815	115001652565	N/A	Жамбылская область
68.673	42.866	115001459379	N/A	Туркестанская область
67.001	43.163	115001264649	N/A	Кызылординская область
67.901	43.14	115001366990	N/A	Туркестанская область
67.061	43.329	115001272225	N/A	Кызылординская область
69.4753	42.8989	115001552438	N/A	Туркестанская область
70.5	42.98	115001667510	N/A	Жамбылская область
69.863	43.016	115001597078	N/A	Туркестанская область
69.782	42.631	115001587934	N/A	Туркестанская область
70.433	42.906	115001660080	N/A	Жамбылская область
69.4673	42.8712	115001552441	N/A	Туркестанская область
70.052	43.122	115001618282	N/A	Туркестанская область
70.907	42.543	115001712005	N/A	Жамбылская область
75.073	44.007	115002098221	N/A	Жамбылская область
75.376	43.373	115002125404	N/A	Алматинская область
72.839	43.329	115001898000	N/A	Жамбылская область
72.435	42.841	115001859862	N/A	Жамбылская область
72.764	42.946	115001890301	N/A	Жамбылская область
72.992	42.722	115001912270	N/A	Жамбылская область
73.226	42.723	115001934013	N/A	Жамбылская область
76.9111	43.0727	115002269589	N/A	Алматинская область
76.862	43.046	115002264721	N/A	Алматинская область
76.112	43.087	115002194965	N/A	Алматинская область
76.277	42.992	115002210314	N/A	Алматинская область
74.771	43.108	115002070399	N/A	Жамбылская область
75.0643	43.2855	115002097077	N/A	Жамбылская область
75.293	42.974	115002117995	N/A	Жамбылская область
68.1214	41.1097	115001393589	N/A	Туркестанская область
69.119	41.488	115001512000	N/A	Туркестанская область
69.44	42.333	115001547845	Шымкент	N/A
68.903	42.238	115001486586	N/A	Туркестанская область
70.22	42.132	115001636366	N/A	Туркестанская область
69.473	41.879	115001552540	N/A	Туркестанская область
69.401	42.31	115001544736	Шымкент	N/A
68.534	42.002	115001441828	N/A	Туркестанская область
68.117	41.168	115001392008	N/A	Туркестанская область
67.318	41.836	115001301324	N/A	Туркестанская область
68.064	41.251	115001385755	N/A	Туркестанская область
67.7622	41.2016	115001351793	N/A	Туркестанская область
68.139	41.458	115001395133	N/A	Туркестанская область
67.269	42.175	115001295180	N/A	Туркестанская область
67.946	41.385	115001373338	N/A	Туркестанская область
68.643	41.769	115001454696	N/A	Туркестанская область
70.517	42.218	115001669073	N/A	Туркестанская область
68.129	41.919	115001393509	N/A	Туркестанская область
68.877	41.295	115001483506	N/A	Туркестанская область
69.191	42.21	115001519767	N/A	Туркестанская область
80.307	42.942	115002537347	N/A	Алматинская область
77.639	43.597	115002333908	N/A	Алматинская область
78.612	44.145	115002414929	N/A	Алматинская область
80.482	42.91	115002547602	N/A	Алматинская область
77.894	43.477	115002356027	N/A	Алматинская область
77.973	43.423	115002362948	N/A	Алматинская область
77.725	43.637	115002340915	N/A	Алматинская область
78.596	43.093	115002413967	N/A	Алматинская область
77.866	43.826	115002353677	N/A	Алматинская область
77.857	43.322	115002352569	N/A	Алматинская область
78.688	43.251	115002421401	N/A	Алматинская область
77.253	43.566	115002299594	N/A	Алматинская область
77.4312	42.9405	115002316329	N/A	Алматинская область
79.58	42.599	115002488246	N/A	Алматинская область
77.163	43.447	115002292423	N/A	Алматинская область
78.168	43.074	115002378896	N/A	Алматинская область
80.263	43.157	115002534809	N/A	Алматинская область
77.538	43.724	115002324507	N/A	Алматинская область
78.745	43.384	115002425611	N/A	Алматинская область
77.868	42.927	115002353768	N/A	Алматинская область
79.871	42.833	115002509023	N/A	Алматинская область
77.508	42.971	115002322229	N/A	Алматинская область
79.561	42.563	115002487280	N/A	Алматинская область
80.088	43.672	115002523277	N/A	Алматинская область
79.8	42.521	115002503476	N/A	Алматинская область
79.5289	42.7352	115002484339	N/A	Алматинская область
79.646	42.634	115002493063	N/A	Алматинская область
79.679	43.09	115002494925	N/A	Алматинская область
79.745	44.286	115002499539	N/A	Алматинская область
80.141	44.256	115002526785	N/A	Алматинская область
78.071	42.959	115002370991	N/A	Алматинская область
78.302	42.913	115002390068	N/A	Алматинская область
77.228	43.017	115002297256	N/A	Алматинская область
77.969	43.084	115002361833	N/A	Алматинская область
78.491	43.604	115002405321	N/A	Алматинская область
78.216	43.946	115002383290	N/A	Алматинская область
79.541	42.7	115002485320	N/A	Алматинская область
77.312	43.64	115002305561	N/A	Алматинская область
78.416	43.128	115002399944	N/A	Алматинская область
80.218	43.359	115002531337	N/A	Алматинская область
79.818	42.705	115002505325	N/A	Алматинская область
79.95	42.452	115002513626	N/A	Алматинская область
78.063	42.923	115002369855	N/A	Алматинская область
79.677	43.061	115002494927	N/A	Алматинская область
77.984	43.955	115002364041	N/A	Алматинская область
77.39	43.05	115002311574	N/A	Алматинская область
77.235	43.335	115002298421	N/A	Алматинская область
80.515	42.905	115002549125	N/A	Алматинская область
79.708	42.605	115002496873	N/A	Алматинская область
77.746	43.564	115002343253	N/A	Алматинская область
78.31	43.062	115002391161	N/A	Алматинская область
79.655	42.503	115002494031	N/A	Алматинская область
78.081	42.949	115002372129	N/A	Алматинская область
78.662	42.825	115002419320	N/A	Алматинская область
77.84	44.23	115002351316	N/A	Алматинская область
80.287	44.165	115002535549	N/A	Алматинская область
78.686	42.863	115002421440	N/A	Алматинская область
